rent,bedrooms,neighborhood
4400,3,Bay Village
4000,1,Bay Village
2700,1,Bay Village
3800,2,Bay Village
5970,1,Bay Village
5760,1,Bay Village
2430,0,Bay Village
6120,1,Bay Village
7140,1,Bay Village
6330,1,Bay Village
2500,1,Bay Village
5500,2,Bay Village
5800,2,Bay Village
4290,1,Bay Village
4290,1,Bay Village
5490,1,Bay Village
6180,1,Bay Village
7590,1,Bay Village
6480,1,Bay Village
5940,1,Bay Village
3800,2,Bay Village
4650,3,Bay Village
5730,1,Bay Village
6120,1,Bay Village
6120,1,Bay Village
36900,3,Bay Village
3570,1,Bay Village
5730,1,Bay Village
8060,2,Bay Village
8100,2,Bay Village
5330,1,Bay Village
4650,1,Bay Village
6720,1,Bay Village
6390,1,Bay Village
4230,1,Bay Village
6540,1,Bay Village
5485,1,Bay Village
6135,1,Bay Village
6210,1,Bay Village
6310,1,Bay Village
8280,1,Bay Village
6360,1,Bay Village
5100,3,Bay Village
2800,1,Bay Village
3000,1,Bay Village
5820,1,Bay Village
2300,1,Bay Village
2800,1,Bay Village
5935,1,Bay Village
7675,2,Bay Village
7725,2,Bay Village
5680,1,Bay Village
4200,3,Bay Village
5495,1,Bay Village
5885,1,Bay Village
5000,2,Bay Village
5835,1,Bay Village
4795,1,Bay Village
8095,2,Bay Village
7925,2,Bay Village
5100,3,Bay Village
3500,1,Bay Village
5690,1,Bay Village
3300,1,Bay Village
3300,1,Bay Village
4795,1,Bay Village
4846,2,Leather District
2508,1,Leather District
2764,1,Leather District
13500,4,Leather District
4410,0,Leather District
1850,0,Chinatown
3049,2,Chinatown
2695,1,Chinatown
2595,1,Chinatown
3695,2,Chinatown
3295,2,Chinatown
2995,2,Chinatown
3695,2,Chinatown
7374,3,Chinatown
3491,1,Chinatown
4890,2,Chinatown
4925,3,Chinatown
4925,3,Chinatown
3631,1,Chinatown
1850,0,Chinatown
3626,1,Chinatown
4925,3,Chinatown
3850,2,Chinatown
1850,0,Chinatown
1850,0,Chinatown
2195,1,Chinatown
2195,1,Chinatown
2175,1,Chinatown
1850,0,Chinatown
2045,1,Chinatown
2880,0,Chinatown
3453,1,Chinatown
3606,1,Chinatown
3788,1,Chinatown
2821,1,Chinatown
8550,1,Chinatown
8550,1,Chinatown
7800,0,Chinatown
7800,0,Chinatown
8550,1,Chinatown
7800,0,Chinatown
13410,2,Chinatown
2450,1,Chinatown
2550,1,Chinatown
2550,1,Chinatown
2525,1,Chinatown
2450,1,Chinatown
2525,1,Chinatown
2600,1,Chinatown
2500,1,Chinatown
2550,1,Chinatown
2800,2,Chinatown
2600,1,Chinatown
7898,3,Chinatown
8550,1,Chinatown
7800,0,Chinatown
7920,0,Chinatown
4968,1,Chinatown
3000,2,Chinatown
3000,2,Chinatown
5760,2,Chinatown
3620,1,Chinatown
3300,2,Chinatown
7890,2,Chinatown
6330,0,Chinatown
7290,1,Chinatown
7290,1,Chinatown
6180,0,Chinatown
7020,1,Chinatown
9350,5,Chinatown
3000,1,Chinatown
3300,2,Chinatown
2500,1,Chinatown
3200,2,Chinatown
2650,1,Chinatown
2550,1,Chinatown
2550,1,Chinatown
2550,1,Chinatown
2525,1,Chinatown
2500,1,Chinatown
3300,2,Chinatown
3200,2,Chinatown
4360,1,Chinatown
3880,1,Chinatown
4090,1,Chinatown
3730,1,Chinatown
4190,1,Chinatown
2850,1,Chinatown
4310,1,Chinatown
4460,1,Chinatown
4550,1,Chinatown
4540,1,Chinatown
6150,1,Chinatown
4710,1,Chinatown
6630,1,Chinatown
3810,1,Chinatown
5430,1,Chinatown
4770,1,Chinatown
3330,1,Chinatown
3840,1,Chinatown
5310,1,Chinatown
5580,1,Chinatown
4150,1,Chinatown
3870,1,Chinatown
6270,1,Chinatown
4050,1,Chinatown
4860,1,Chinatown
5240,2,Chinatown
5940,1,Chinatown
7441,3,Chinatown
3999,1,Chinatown
3800,1,Chinatown
3450,2,North End
2800,2,North End
3900,2,North End
3050,2,North End
3800,2,North End
2800,2,North End
5600,4,North End
3800,3,North End
3900,2,North End
3900,2,North End
2850,1,North End
3000,2,North End
2800,2,North End
3100,2,North End
3600,3,North End
3800,3,North End
3400,3,North End
3200,2,North End
5900,4,North End
2500,1,North End
3200,2,North End
3200,2,North End
2500,1,North End
3900,2,North End
2200,0,North End
3900,2,North End
3900,3,North End
2800,2,North End
3300,3,North End
3500,2,North End
4800,3,North End
4755,3,North End
6700,4,North End
2800,2,North End
2700,0,North End
2400,2,North End
2700,2,North End
2600,2,North End
4550,2,North End
3880,2,North End
4040,2,North End
2600,1,North End
3860,2,North End
3520,1,North End
3630,2,North End
3500,1,North End
3675,1,North End
3880,2,North End
5400,2,North End
5910,2,North End
3030,1,North End
4110,2,North End
4740,2,North End
4950,2,North End
3780,1,North End
4890,2,North End
6000,2,North End
